player_age,player_gender,player_playgames,player_playfrequency,game_variant,score,time,distance_to_enemies_euclidean,distance_to_pellets_euclidean,tile_visits,leftpressed_count,uppressed_count,spacepressed_count,rightpressed_count,downpressed_count,challenge
47.0,1.0,1.0,5.0,6.0,26.0,1.0,0.0,25.0,8.0,26.0,1.0,0.0,25.0,8.0,0
47.0,1.0,1.0,5.0,6.0,21.0,0.0,0.0,23.0,11.0,21.0,0.0,0.0,23.0,11.0,1
26.0,1.0,1.0,2.0,4.0,29.0,1.0,0.0,27.0,17.0,29.0,1.0,0.0,27.0,17.0,0
26.0,1.0,1.0,2.0,4.0,29.0,3.0,0.0,24.0,15.0,29.0,3.0,0.0,24.0,15.0,1
26.0,1.0,1.0,2.0,2.0,26.0,1.0,0.0,28.0,10.0,26.0,1.0,0.0,28.0,10.0,0
26.0,1.0,1.0,2.0,2.0,27.0,3.0,0.0,20.0,13.0,27.0,3.0,0.0,20.0,13.0,1
26.0,1.0,1.0,2.0,8.0,34.0,0.0,0.0,24.0,5.0,34.0,0.0,0.0,24.0,5.0,1
26.0,1.0,1.0,2.0,8.0,35.0,0.0,0.0,28.0,7.0,35.0,0.0,0.0,28.0,7.0,1
26.0,1.0,1.0,2.0,7.0,34.0,2.0,0.0,23.0,10.0,34.0,2.0,0.0,23.0,10.0,1
26.0,1.0,1.0,2.0,7.0,37.0,0.0,0.0,20.0,12.0,37.0,0.0,0.0,20.0,12.0,0
26.0,0.0,1.0,5.0,4.0,24.0,0.0,0.0,26.0,6.0,24.0,0.0,0.0,26.0,6.0,1
26.0,0.0,1.0,5.0,4.0,35.0,4.0,1.0,27.0,9.0,35.0,4.0,1.0,27.0,9.0,0
26.0,0.0,1.0,5.0,2.0,27.0,0.0,2.0,29.0,7.0,27.0,0.0,2.0,29.0,7.0,0
26.0,0.0,1.0,5.0,2.0,18.0,1.0,3.0,29.0,7.0,18.0,1.0,3.0,29.0,7.0,1
26.0,0.0,1.0,5.0,14.0,29.0,1.0,1.0,28.0,8.0,29.0,1.0,1.0,28.0,8.0,1
26.0,0.0,1.0,5.0,14.0,27.0,0.0,2.0,23.0,7.0,27.0,0.0,2.0,23.0,7.0,0
26.0,0.0,1.0,5.0,8.0,25.0,3.0,0.0,31.0,12.0,25.0,3.0,0.0,31.0,12.0,0
26.0,0.0,1.0,5.0,8.0,23.0,0.0,4.0,24.0,8.0,23.0,0.0,4.0,24.0,8.0,1
28.0,1.0,1.0,3.0,5.0,27.0,2.0,0.0,30.0,9.0,27.0,2.0,0.0,30.0,9.0,1
28.0,1.0,1.0,3.0,5.0,28.0,14.0,0.0,15.0,11.0,28.0,14.0,0.0,15.0,11.0,0
28.0,1.0,1.0,3.0,2.0,24.0,1.0,0.0,27.0,8.0,24.0,1.0,0.0,27.0,8.0,0
28.0,1.0,1.0,3.0,2.0,34.0,1.0,0.0,28.0,7.0,34.0,1.0,0.0,28.0,7.0,0
28.0,1.0,1.0,3.0,6.0,30.0,7.0,1.0,20.0,14.0,30.0,7.0,1.0,20.0,14.0,0
28.0,1.0,1.0,3.0,6.0,33.0,2.0,0.0,27.0,5.0,33.0,2.0,0.0,27.0,5.0,1
28.0,1.0,1.0,3.0,13.0,32.0,0.0,0.0,33.0,11.0,32.0,0.0,0.0,33.0,11.0,0
28.0,1.0,1.0,3.0,13.0,26.0,0.0,1.0,35.0,7.0,26.0,0.0,1.0,35.0,7.0,1
21.0,0.0,0.0,9.0,5.0,24.0,8.0,0.0,26.0,13.0,24.0,8.0,0.0,26.0,13.0,1
